VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
,2021-01-11 10:14:00,2021-01-11 10:43:00,,7.25,,,70,42,,26.46,0.0,0.5,0.0,12.24,0.3,39.5,0.0
,2021-01-11 10:56:00,2021-01-11 11:48:00,,13.03,,,70,91,,50.38,0.0,0.5,0.0,6.12,0.3,57.3,0.0
,2021-01-11 10:20:11,2021-01-11 10:29:13,,1.63,,,259,174,,19.57,0.0,0.5,2.75,0.0,0.3,23.12,0.0
,2021-01-11 10:58:00,2021-01-11 11:25:04,,15.66,,,136,51,,24.12,0.0,0.5,2.75,0.0,0.3,27.67,0.0
,2021-01-11 10:50:24,2021-01-11 11:05:07,,3.83,,,51,242,,18.46,0.0,0.5,2.75,0.0,0.3,22.01,0.0
,2021-01-11 10:01:57,2021-01-11 10:21:05,,4.47,,,185,241,,26.93,0.0,0.5,2.75,0.0,0.3,30.48,0.0
,2021-01-09 08:01:44,2021-01-09 08:01:03,,5.08,,,265,48,,15.2,0.0,0.5,0.0,0.0,0.3,16.0,0.0
,2021-01-09 08:55:00,2021-01-09 09:14:00,,8.66,,,228,108,,42.95,0.0,0.5,2.75,0.0,0.3,46.5,0.0
,2021-01-09 08:20:00,2021-01-09 08:38:00,,3.68,,,26,11,,20.02,0.0,0.5,2.75,0.0,0.3,23.57,0.0
,2021-01-09 08:03:37,2021-01-09 08:32:40,,14.25,,,95,86,,44.89,0.0,0.5,2.75,0.0,0.3,48.44,0.0
,2021-01-09 08:55:00,2021-01-09 09:22:00,,14.8,,,48,216,,73.83,0.0,0.5,2.75,6.12,0.3,83.5,0.0
,2021-01-09 08:49:31,2021-01-09 09:02:46,,2.53,,,91,188,,13.45,0.0,0.5,2.75,0.0,0.3,17.0,0.0
,2021-01-09 08:20:26,2021-01-09 08:31:16,,2.39,,,61,39,,32.81,0.0,0.5,2.75,0.0,0.3,36.36,0.0
,2021-01-09 08:07:21,2021-01-09 08:32:18,,0.0,,,114,102,,23.7,0.0,0.5,0.0,0.0,0.3,29.0,2.5
,2021-01-09 08:39:00,2021-01-09 09:09:00,,9.59,,,202,42,,42.95,0.0,0.5,2.75,0.0,0.3,46.5,0.0
,2021-01-09 08:43:00,2021-01-09 08:50:00,,1.71,,,213,208,,10.95,0.0,0.5,2.75,0.0,0.3,14.5,0.0
,2021-01-09 08:44:00,2021-01-09 08:56:00,,28396.04,,,35,37,,22.81,0.0,0.5,2.75,0.0,0.3,26.36,0.0
,2021-01-09 08:30:00,2021-01-09 08:39:00,,1.12,,,183,208,,13.12,0.0,0.5,2.75,0.0,0.3,16.67,0.0
,2021-01-09 08:28:00,2021-01-09 08:45:00,,8.43,,,248,140,,28.23,0.0,0.5,2.75,6.12,0.3,37.9,0.0
,2021-01-09 08:57:00,2021-01-09 09:40:00,,10.53,,,231,74,,45.9,0.0,0.5,0.0,0.0,0.3,49.2,2.5
,2021-01-09 08:01:37,2021-01-09 08:01:03,,2.94,,,265,35,,15.2,0.0,0.5,0.0,0.0,0.3,16.0,0.0
,2021-01-09 08:01:10,2021-01-09 09:01:04,,8.61,,,265,112,,29.53,0.0,0.5,0.0,0.0,0.3,30.33,0.0
,2021-01-09 08:56:20,2021-01-09 09:19:17,,6.63,,,198,97,,29.27,0.0,0.5,2.75,0.0,0.3,32.82,0.0
,2021-01-09 08:21:00,2021-01-09 08:38:00,,3.8,,,213,47,,14.48,0.0,0.5,0.0,0.0,0.3,15.28,0.0
,2021-01-09 08:53:00,2021-01-09 09:01:00,,1.61,,,47,78,,22.71,0.0,0.5,2.75,0.0,0.3,26.26,0.0
,2021-01-09 08:59:09,2021-01-09 09:20:24,,9.81,,,107,244,,36.59,0.0,0.5,2.75,0.0,0.3,40.14,0.0
,2021-01-09 08:01:16,2021-01-09 09:01:04,,8.16,,,265,181,,24.09,0.0,0.5,0.0,0.0,0.3,24.89,0.0
,2021-01-09 08:30:00,2021-01-09 09:19:00,,19.35,,,94,188,,53.48,0.0,0.5,2.75,0.0,0.3,57.03,0.0
,2021-01-09 08:50:00,2021-01-09 08:57:00,,1.46,,,237,229,,7.21,0.0,0.5,1.61,0.0,0.3,12.12,2.5
,2021-01-09 08:58:00,2021-01-09 09:23:00,,7.13,,,41,148,,33.26,0.0,0.5,2.75,0.0,0.3,36.81,0.0
,2021-01-09 08:02:00,2021-01-09 08:33:00,,13.04,,,35,108,,31.4,0.0,0.5,2.75,0.0,0.3,34.95,0.0
,2021-01-09 08:42:06,2021-01-09 08:56:40,,6.85,,,168,60,,18.45,0.0,0.5,2.75,0.0,0.3,22.0,0.0
,2021-01-09 08:28:00,2021-01-09 08:56:00,,15.9,,,51,196,,38.69,0.0,0.5,2.75,6.12,0.3,48.36,0.0
,2021-01-09 08:50:13,2021-01-09 08:53:30,,1.3,,,162,236,,5.5,0.0,0.5,1.32,0.0,0.3,10.12,2.5
,2021-01-09 08:19:00,2021-01-09 08:39:00,,4.55,,,223,163,,23.72,0.0,0.5,7.38,0.0,0.3,34.4,2.5
,2021-01-09 08:27:39,2021-01-09 08:32:57,,1.38,,,61,61,,16.23,0.0,0.5,2.75,0.0,0.3,19.78,0.0
,2021-01-09 08:22:00,2021-01-09 08:39:00,,11.43,,,213,134,,38.71,0.0,0.5,2.75,6.12,0.3,48.38,0.0
,2021-01-09 08:44:00,2021-01-09 08:52:00,,1.11,,,209,232,,14.95,0.0,0.5,2.75,0.0,0.3,18.5,0.0
,2021-01-09 08:28:20,2021-01-09 08:53:12,,15.77,,,81,137,,40.54,0.0,0.5,2.75,6.12,0.3,50.21,0.0
,2021-01-09 08:23:59,2021-01-09 08:32:45,,1.37,,,76,35,,32.81,0.0,0.5,2.75,0.0,0.3,36.36,0.0
,2021-01-09 08:54:00,2021-01-09 09:26:00,,16.93,,,231,185,,72.7,0.0,0.5,0.0,0.0,0.3,76.0,2.5
,2021-01-09 08:19:33,2021-01-09 08:34:10,,5.14,,,143,42,,26.67,0.0,0.5,2.75,0.0,0.3,30.22,0.0
,2021-01-09 08:01:44,2021-01-09 08:01:03,,5.67,,,265,116,,18.76,0.0,0.5,0.0,0.0,0.3,19.56,0.0
,2021-01-09 08:26:00,2021-01-09 08:51:00,,11.37,,,139,35,,48.85,0.0,0.5,2.75,0.0,0.3,52.4,0.0
,2021-01-09 08:01:00,2021-01-09 08:10:00,,1.38,,,43,24,,19.96,0.0,0.5,2.75,0.0,0.3,23.51,0.0
,2021-01-09 08:18:37,2021-01-09 08:40:54,,15.23,,,42,130,,42.13,0.0,0.5,2.75,6.12,0.3,51.8,0.0
,2021-01-09 08:01:24,2021-01-09 08:01:04,,0.94,,,265,75,,28.2,0.0,0.5,0.0,0.0,0.3,29.0,0.0
,2021-01-09 08:01:40,2021-01-09 08:01:03,,6.13,,,265,127,,17.02,0.0,0.5,0.0,0.0,0.3,17.82,0.0
,2021-01-09 08:01:22,2021-01-09 08:01:04,,1.13,,,265,142,,15.2,0.0,0.5,0.0,0.0,0.3,16.0,0.0
,2021-01-09 08:01:26,2021-01-09 08:01:03,,4.11,,,265,263,,18.94,0.0,0.5,0.0,0.0,0.3,19.74,0.0
,2021-01-09 08:57:57,2021-01-09 09:18:55,,10.38,,,125,14,,28.31,0.0,0.5,8.41,0.0,0.3,40.02,2.5
,2021-01-09 08:21:00,2021-01-09 08:31:00,,1.89,,,136,174,,13.38,0.0,0.5,2.75,0.0,0.3,16.93,0.0
,2021-01-09 08:06:00,2021-01-09 08:11:00,,0.97,,,153,220,,12.38,0.0,0.5,2.75,0.0,0.3,15.93,0.0
,2021-01-09 08:01:47,2021-01-09 08:01:02,,0.68,,,265,218,,15.2,0.0,0.5,0.0,0.0,0.3,16.0,0.0
,2021-01-09 08:01:08,2021-01-09 09:01:04,,10.3,,,265,225,,33.73,0.0,0.5,0.0,0.0,0.3,34.53,0.0
,2021-01-09 08:01:57,2021-01-09 08:01:03,,3.96,,,265,225,,18.13,0.0,0.5,0.0,0.0,0.3,18.93,0.0
